user_id,user_session,product_id,price,category_code,brand,num_views_product,purchased,start_time,end_time,num_views_session,duration,start_hour,start_minute,start_dayofweek,sessions_precedentes,num_prev_and_current_product_views,num_prev_product_views
260013793,1f939f6c-7a7d-435d-88a8-b4d5a3360235,58300008,0.0,"","",1,false,2019-10-25T13:12:30.000Z,2019-10-25T13:52:06.000Z,16,2376,13,12,6,4,1,0
260013793,1f939f6c-7a7d-435d-88a8-b4d5a3360235,58300010,0.0,"","",1,false,2019-10-25T13:12:30.000Z,2019-10-25T13:52:06.000Z,16,2376,13,12,6,4,1,0
262033761,19cb29ec-75ab-47b6-84a9-243adb9faf55,12703415,54.06,"",cordiant,1,false,2019-10-20T14:46:16.000Z,2019-10-20T14:49:18.000Z,2,182,14,46,1,0,1,0
262033761,f49cacf2-cdc2-4c3d-b13f-368127b9b578,12713802,67.18,"",continental,1,false,2019-10-20T15:05:11.000Z,2019-10-20T15:29:29.000Z,7,1458,15,5,1,2,1,0
262033761,0e62edac-8072-4077-aee1-f4a7d14902b6,12713802,67.18,"",continental,1,false,2019-10-24T12:09:30.000Z,2019-10-24T12:15:05.000Z,6,335,12,9,5,3,2,1
272811580,e48f51b9-e02e-4840-aab5-06bc0f9363e3,3601438,212.86,appliances.kitchen.washer,beko,2,false,2019-11-05T09:16:41.000Z,2019-11-05T09:27:24.000Z,5,643,9,16,3,0,2,0
276618064,91f4e546-4200-4289-b6fd-c8d055d9c610,5500126,13.62,"",saturn,2,false,2019-10-30T03:08:28.000Z,2019-10-30T03:53:46.000Z,4,2718,3,8,4,0,2,0
276618064,9dbd791a-32e7-445c-bd81-5d3b38124d07,5500126,13.62,"",saturn,1,false,2019-10-30T09:10:17.000Z,2019-10-30T09:10:17.000Z,1,0,9,10,4,1,3,2
276618064,07a9ed74-84ad-4b91-ad93-b9027d66db4c,5500126,13.62,"",saturn,1,false,2019-10-31T03:02:57.000Z,2019-10-31T03:14:13.000Z,2,676,3,2,5,2,4,3
289438562,094e3dd3-3f6b-4a7c-a19a-49803103d0b9,26023149,3.06,"","",1,false,2019-11-02T17:18:15.000Z,2019-11-02T17:59:16.000Z,5,2461,17,18,7,1,1,0
297489189,7b2a2c14-9f12-48d8-9b04-6778c38d8975,49400037,151.87,"","",2,false,2019-10-27T07:30:15.000Z,2019-10-27T07:30:27.000Z,1,12,7,30,1,0,2,0
297489189,f5eda46f-4baa-4e0b-b3b5-c29cdfc37322,49400037,151.87,"","",2,false,2019-10-27T07:33:10.000Z,2019-10-27T07:47:05.000Z,1,835,7,33,1,1,4,2
301130818,d682204e-1e7b-4b0e-9213-d9a6ecc28f1a,15500102,61.78,"",flight,1,false,2019-10-30T04:53:25.000Z,2019-10-30T04:55:54.000Z,2,149,4,53,4,0,1,0
303533889,f5e5a73f-eba9-467b-8a06-fd1e8671416d,18600043,202.32,"","",2,false,2019-10-31T16:49:25.000Z,2019-10-31T16:53:28.000Z,3,243,16,49,5,1,2,0
304325717,58995857-c434-4319-85fd-84f2f4662251,1004904,106.57,electronics.smartphone,huawei,1,false,2019-10-29T12:34:40.000Z,2019-10-29T12:34:40.000Z,1,0,12,34,3,2,1,0
304325717,d6b934f3-eb2e-4d31-adf1-7d96c45b32b5,1004904,106.57,electronics.smartphone,huawei,3,false,2019-10-29T13:48:18.000Z,2019-10-29T13:57:37.000Z,1,559,13,48,3,4,4,1
314167795,3755da15-1daa-4bc1-94b1-ee5578bdb0e4,12704403,108.79,"",yokohama,2,false,2019-11-04T23:02:49.000Z,2019-11-05T00:20:55.000Z,3,4686,23,2,2,2,2,0
314220551,c775f0e6-524e-400b-893d-60bf6aa7b085,4000134,51.46,construction.tools.generator,philips,1,false,2019-10-26T05:05:20.000Z,2019-10-26T05:06:17.000Z,3,57,5,5,7,1,1,0
315023341,ed0e438c-00ff-4407-8c7c-da89a8110b5c,2501352,231.64,appliances.kitchen.oven,beko,3,false,2019-10-27T16:34:57.000Z,2019-10-27T16:47:26.000Z,6,749,16,34,1,2,3,0
318165060,8477ef3b-56a1-4cdc-9134-0628642567f5,12705690,48.91,"",triangle,4,false,2019-11-02T18:51:38.000Z,2019-11-02T19:01:19.000Z,1,581,18,51,7,0,4,0
318611205,3480cfaa-d6c4-4c0b-84da-25499f7adce4,1005160,208.24,electronics.smartphone,xiaomi,2,false,2019-11-04T12:13:58.000Z,2019-11-04T12:14:40.000Z,1,42,12,13,2,11,2,0
323056419,203b394f-dac0-4e0a-b038-bfae0be2509e,22700062,217.51,"",aeroforce,1,false,2019-10-20T16:15:24.000Z,2019-10-20T16:31:05.000Z,18,941,16,15,1,0,1,0
335470066,3928fa51-fc89-4268-8b30-c229c23d89ce,26500393,73.62,"",trollbeads,1,false,2019-10-29T07:42:27.000Z,2019-10-29T08:11:16.000Z,31,1729,7,42,3,2,1,0
335470066,3928fa51-fc89-4268-8b30-c229c23d89ce,26500532,88.29,"",sokolov,1,false,2019-10-29T07:42:27.000Z,2019-10-29T08:11:16.000Z,31,1729,7,42,3,2,1,0
335470066,740bc8c4-107a-41a2-4758-1d3ce3edde9d,26500608,528.53,"","",1,false,2019-10-27T14:00:57.000Z,2019-10-27T16:43:10.000Z,41,9733,14,0,1,1,1,0
338676909,ba320b22-9de0-40a7-ba62-db18f3d367aa,26200211,277.74,"","",3,false,2019-10-28T01:11:34.000Z,2019-10-28T01:14:49.000Z,3,195,1,11,2,0,3,0
338676909,839b4a72-f62f-4be1-a01f-472ec9d91039,26200211,277.74,"","",1,false,2019-10-28T14:52:42.000Z,2019-10-28T15:00:51.000Z,4,489,14,52,2,1,4,3
338996082,56b0abbb-4650-498f-9dc2-7af605659ebd,21900180,16.73,"","",1,false,2019-11-03T03:35:06.000Z,2019-11-03T03:35:06.000Z,1,0,3,35,1,0,1,0
345116723,13cdc9ca-4b4f-4b83-9359-491aab449ec6,3900002,105.77,appliances.environment.water_heater,ariston,1,false,2019-11-03T14:28:41.000Z,2019-11-03T14:29:54.000Z,3,73,14,28,1,0,1,0
348234176,9932d837-ca8c-4df8-92a4-852fb195a6d4,4100129,462.79,"",sony,1,false,2019-11-02T09:15:58.000Z,2019-11-02T09:15:58.000Z,1,0,9,15,7,1,1,0
355205492,a060be17-bd28-42a6-ab2e-24a5dd5473a8,10201369,34.18,kids.dolls,miraculous,1,false,2019-10-29T17:10:50.000Z,2019-10-29T17:11:10.000Z,2,20,17,10,3,0,1,0
356713615,5ce87761-83a8-4d64-97e7-c5390c87d99b,12705003,40.93,"",cordiant,1,false,2019-10-26T14:29:22.000Z,2019-10-26T14:33:17.000Z,4,235,14,29,7,0,1,0
358620464,29e7a73e-95d4-4956-8953-153d032338a4,28718034,79.02,apparel.shoes.keds,millionaire,1,false,2019-10-27T13:51:50.000Z,2019-10-27T14:02:25.000Z,9,635,13,51,1,0,1,0
358880951,21301e08-cd8c-41ab-8d7c-aa39a85c2e94,22700193,83.66,"",stels,1,false,2019-10-21T01:59:42.000Z,2019-10-21T02:02:42.000Z,4,180,1,59,2,0,1,0
359634297,8af64583-2c10-417b-b4e9-d0913b1678d1,2701727,285.12,appliances.kitchen.refrigerators,beko,2,false,2019-10-22T08:13:19.000Z,2019-10-22T08:33:37.000Z,3,1218,8,13,3,0,2,0
360719779,d703f5f9-bdbc-4fc0-9343-65d3da7d80bf,1003549,344.9,electronics.smartphone,samsung,2,false,2019-10-21T10:53:04.000Z,2019-10-21T10:53:44.000Z,1,40,10,53,2,1,2,0
360719779,6386c095-12eb-4a9a-b4c6-fe51f55303cd,1003549,344.9,electronics.smartphone,samsung,1,false,2019-10-21T10:57:01.000Z,2019-10-21T10:57:01.000Z,1,0,10,57,2,2,3,2
360719779,da4608f0-92ab-4deb-a45d-bc3436d8729e,1003549,344.9,electronics.smartphone,samsung,1,false,2019-10-23T13:37:14.000Z,2019-10-23T13:37:14.000Z,1,0,13,37,4,3,4,3
364148735,93750771-7f7b-4a4d-9782-7692e36040c1,16000285,40.13,"",berghoff,1,false,2019-11-03T01:47:02.000Z,2019-11-03T01:53:43.000Z,6,401,1,47,1,0,1,0
367138781,b052098a-56c9-4dfc-9725-b59479fa5bff,7006377,702.67,kids.carriage,bugaboo,1,false,2019-10-20T12:14:43.000Z,2019-10-20T12:21:08.000Z,5,385,12,14,1,0,1,0
369972356,4e0954ad-bf06-45c4-a771-a5446dc7b907,15600016,450.44,"","",1,false,2019-10-25T18:29:55.000Z,2019-10-25T18:44:35.000Z,9,880,18,29,6,0,1,0
369999605,f838ecd4-566e-43fa-897c-6e2f00e1132d,12707784,96.37,"",nexen,1,false,2019-10-20T15:56:35.000Z,2019-10-20T15:56:35.000Z,1,0,15,56,1,1,1,0
371460797,56b8248e-2412-4dc4-a892-1da00d710f83,3701016,108.08999999999999,appliances.environment.vacuum,tefal,2,false,2019-10-24T06:05:19.000Z,2019-10-24T07:08:27.000Z,2,3788,6,5,5,0,2,0
371877401,0e36ca8e-1424-4f77-934d-16f7a996e45b,10700730,45.99,"","",1,false,2019-10-23T07:12:40.000Z,2019-10-23T07:46:32.000Z,4,2032,7,12,4,0,1,0
372347663,031afa08-bc98-4280-8c74-9e8fa53cfa4a,2800433,283.12,appliances.kitchen.refrigerators,haier,1,false,2019-10-23T17:01:15.000Z,2019-10-23T17:10:00.000Z,3,525,17,1,4,0,1,0
376532563,1ff037ef-8cbc-4d92-9ac9-1551d30159cc,1201432,977.89,electronics.tablet,microsoft,2,false,2019-11-02T05:01:42.000Z,2019-11-02T05:47:37.000Z,14,2755,5,1,7,1,2,0
